title,description,url,publishedAt,sentiment,score,processed_text
"Meet Mico, Microsoft’s AI version of Clippy","It’s been nearly 30 years since Microsoft’s Office assistant, Clippy, first graced our screens as an annoying paperclip. After the Groucho-browed interruptions of Clippy came to an end in 2001 with Office XP, Microsoft tried to revive the spirit of an assista…",https://www.theverge.com/news/804106/microsoft-mico-copilot-ai-assistant-clippy,2025-10-23T16:00:35Z,Negative,-0.296,meet mico microsoft ai version clippy nearly 30 year since microsoft office assistant clippy first graced screen annoying paperclip groucho browed interruption clippy came end 2001 office xp microsoft tried revive spirit assista ul li li li li li li ul copilot virtual character voice mode copilot virtual character voice mode tom warrenclose tom warren po 3938 char
New California law requires AI to tell you it’s AI,"A bill attempting to regulate the ever-growing industry of companion AI chatbots is now law in California, as of October 13th. California Gov. Gavin Newsom signed into law Senate Bill 243, billed as “first-in-the-nation AI chatbot safeguards” by state senator…",https://www.theverge.com/news/798875/california-just-passed-a-new-law-requiring-ai-to-tell-you-its-ai,2025-10-13T17:13:58Z,Positive,0.8176,new california law requires ai tell ai bill attempting regulate ever growing industry companion ai chatbots law california october 13th california gov gavin newsom signed law senate bill 243 billed first nation ai chatbot safeguard state senator ul li li li li li li ul sb 243 institute new safeguard ai chatbots sb 243 institute new safeguard ai chatbots hayden fieldclose hayden field post author w 3201 char
AI Is Not God,"In recent times, there have been two techno-religious awakenings. Here comes the third?",https://www.wired.com/story/ai-religion-new-church-find-god/,2025-10-27T10:00:00Z,Positive,0.2023,ai god recent time two techno religious awakening come third human yearn sky daddy something explains unexplainable someone blame wonder zirp fueled 2010s new gospel creation spread 3577 char
OpenAI allegedly sent police to an AI regulation advocate’s door,"Will OpenAI send police to your door if you advocate for AI regulation?  Nathan Calvin, a lawyer who shapes policies surrounding the technology at Encode AI, claims OpenAI did just that. “One Tuesday night, as my wife and I sat down for dinner, a sheriff’s de…",https://www.theverge.com/news/798523/openai-ai-regulation-advocates-subpoenas-police,2025-10-10T21:31:05Z,Neutral,0.0,openai allegedly sent police ai regulation advocate door openai send police door advocate ai regulation nathan calvin lawyer shape policy surrounding technology encode ai claim openai one tuesday night wife sat dinner sheriff de ul li li li li li li ul ai giant reportedly asked advocate turn trove personal message ai giant reportedly asked advocate turn trove person 3632 char
‘Sovereign AI’ Has Become a New Front in the US-China Tech War,"OpenAI has announced “AI sovereignty"" partnerships with governments around the world, but can proprietary models compete with Beijing’s open source offerings?",https://www.wired.com/story/openai-sovereign-ai-us-china-tech-war/,2025-10-14T16:00:00Z,Negative,-0.2263,sovereign ai become new front u china tech war openai announced ai sovereignty partnership government around world proprietary model compete beijing open source offering openai announced number project year foreign government help build called sovereign ai system company say deal coord 3539 char
AI Is the Bubble to Burst Them All,I talked to the scholars who literally wrote the book on tech bubbles—and applied their test.,https://www.wired.com/story/ai-bubble-will-burst/,2025-10-27T10:00:00Z,Neutral,0.0,ai bubble burst talked scholar literally wrote book tech bubble applied test nearly three year since ai took center stage silicon valley major player exception nvidia whose chip would likely still use post bust still havent demonstrated 3675 char
The Worst Thing About AI Is That People Can’t Shut Up About It,A plea from WIRED’s top boss: Say less.,https://www.wired.com/story/ai-journalism-worst-thing-about-ai/,2025-10-27T10:00:00Z,Negative,-0.2023,worst thing ai people shut plea wired top bos say less tried get assignment many time many different way every package need editor letter told busy recording new podcast getting ready spea 6169 char
Microsoft is giving Copilot AI faces you can chat with,"Microsoft is trying to make Copilot more approachable by giving the AI assistant an animated face to talk with. The experimental “Portraits” feature in Copilot Labs is currently available in the US, UK, and Canada, and provides 40 stylized human avatars that …",https://www.theverge.com/news/788741/microsoft-copilot-labs-ai-portraits-experiment-human-avatar,2025-09-30T17:12:48Z,Positive,0.5859,microsoft giving copilot ai face chat microsoft trying make copilot approachable giving ai assistant animated face talk experimental portrait feature copilot lab currently available u uk canada provides 40 stylized human avatar ul li li li li li li ul copilot portrait provides 40 stylized human avatar make expression voice conversation copilot portrait provides 40 stylized human avatar 3317 char
EA partners with Stability AI for ‘transformative’ AI game-making tools,"EA is partnering with Stability AI, the company that develops the Stable Diffusion AI image model, to help infuse AI into its development processes. The two companies will “co-develop transformative AI models, tools, and workflows that empower our artists, de…",https://www.theverge.com/news/805777/ea-stability-ai-transformative-game-development-tools,2025-10-23T20:23:53Z,Positive,0.8934,ea partner stability ai transformative ai game making tool ea partnering stability ai company develops stable diffusion ai image model help infuse ai development process two company co develop transformative ai model tool workflow empower artist de ul li li li li li li ul ea want ai trusted ally though say human still center storytelling ea want ai trusted ally though say 3271 char
Trump Shares Bizarre AI Video Promising Magic ‘Medbeds’ for Everyone,"In a since-deleted Truth Social post, an AI version of Trump promised every American would soon have access to their very own medbed.",https://gizmodo.com/trump-shares-bizarre-ai-video-promising-magic-medbeds-for-everyone-2000664965,2025-09-29T16:10:59Z,Positive,0.8779,trump share bizarre ai video promising magic medbeds everyone since deleted truth social post ai version trump promised every american would soon access medbed president donald trump seems gone qanon deep end post truth social account published weekend trump shared ai generated video announcing arriva 2974 char
Yelp’s AI can now take reservations over the phone,"Yelp’s AI-powered solutions promise to answer calls, take reservations, and manage bookings for “understaffed” restaurants. Yelp Host and Yelp Receptionist are part of a broader push from the company and similar platforms embracing AI to streamline customer m…",https://www.theverge.com/news/802529/yelp-ai-host-receptionist,2025-10-20T11:52:55Z,Positive,0.5574,yelp ai take reservation phone yelp ai powered solution promise answer call take reservation manage booking understaffed restaurant yelp host yelp receptionist part broader push company similar platform embracing ai streamline customer ul li li li li ul ai powered receptionist take booking answer question ai powered receptionist take booking answer question robert hartclose robert har 3477 char
Werner Herzog on AI-Generated Movies: ‘They Look Completely Dead’,"Herzog spoke with Conan O'Brien about the concept of truth and why AI is a ""nemesis.""",https://gizmodo.com/werner-herzog-on-ai-generated-movies-they-look-completely-dead-2000665025,2025-09-29T18:35:08Z,Positive,0.6815,werner herzog ai generated movie look completely dead herzog spoke conan brien concept truth ai nemesis legendary filmmaker come honey boo boo superfan werner herzog see beauty everything two notable exception chicken art created artificial intelligence 4401 char
"SB 53, the landmark AI transparency bill, is now law in California","Senate Bill 53, the landmark AI transparency bill that has divided AI companies and made headlines for months, is now officially law in California.  On Monday, California governor Gavin Newsom signed the “Transparency in Frontier Artificial Intelligence Act,”…",https://www.theverge.com/ai-artificial-intelligence/787918/sb-53-the-landmark-ai-transparency-bill-is-now-law-in-california,2025-09-29T23:01:43Z,Positive,0.8519,sb 53 landmark ai transparency bill law california senate bill 53 landmark ai transparency bill divided ai company made headline month officially law california monday california governor gavin newsom signed transparency frontier artificial intelligence act ul li li li li li li ul hotly debated legislation establishes safety reporting requirement large ai company hotly debated legislation establishes safety reporting requi 4740 char
The Argument for Letting AI Burn It All Down,"When the AI bubble bursts, the nerds will do their best work.",https://www.wired.com/story/ai-normal-after-ai-plateaus/,2025-10-27T10:00:00Z,Positive,0.8271,argument letting ai burn ai bubble burst nerd best work suddenly long ago dearest tech industry leader began suggest caution sam altman said ai bubble sure albeit one formed around kernel truth mark zuckerberg sa 3018 char
GM Unveils Electric SUV With ‘Eyes-Off’ Driving,"As EV demand drop begins, GM is betting on AI to spur sales",https://gizmodo.com/gm-unveils-electric-suv-with-eyes-off-driving-2000675536,2025-10-22T18:35:47Z,Positive,0.4939,gm unveils electric suv eye driving ev demand drop begin gm betting ai spur sale auto giant gm announced today reinvigorating fleet series new artificial intelligence machine learning feature expected rolled within next three 4210 char
This Startup Wants to Spark a US DeepSeek Moment,"With the US falling behind on open source models, one startup has a bold idea for democratizing AI: let anyone run reinforcement learning.",https://www.wired.com/story/prime-intellect-startup-us-deepseek-moment/,2025-10-08T18:30:00Z,Positive,0.743,startup want spark u deepseek moment u falling behind open source model one startup bold idea democratizing ai let anyone run reinforcement learning ever since deepseek burst onto scene january momentum grown around open source chinese artificial intelligence model researcher pushing even open approach build 1926 char
How China is challenging Nvidia's AI chip dominance,Beijing has urged local firms to use homemade chips. But is China ready to turn away from Nvidia?,https://www.bbc.com/news/articles/cgmz2vm3yv8o,2025-10-05T23:00:21Z,Positive,0.6369,china challenging nvidia ai chip dominance beijing urged local firm use homemade chip china ready turn away nvidia osmond chiabusiness reporter nvidia ceo jensen huang said china nanosecond behind u chip u dominated global technology market decade china want change 6985 char
AI Finds its Niche: Writing Corporate Press Releases,Hopefully it got the numbers right.,https://gizmodo.com/ai-finds-its-niche-writing-corporate-press-releases-2000666360,2025-10-02T15:00:39Z,Positive,0.6124,ai find niche writing corporate press release hopefully got number right one place ai seems found work corporate press office according new study published journal pattern provides comprehensive review writing r 2920 char
Hollywood has no idea what to do about AI,"This is an excerpt of Sources by Alex Heath, a newsletter about AI and the tech industry, syndicated just for The Verge subscribers once a week. This week, I got an up-close look at how far apart Silicon Valley and Hollywood are on what to do about AI. First,…",https://www.theverge.com/ai-artificial-intelligence/798496/hollywood-openai-training-netflix-paramount-warner,2025-10-10T21:15:21Z,Positive,0.6808,hollywood idea ai excerpt source alex heath newsletter ai tech industry syndicated verge subscriber week week got close look far apart silicon valley hollywood ai first ul li li li li li li ul openai speedrunning entertainment industry openai speedrunning entertainment industry alex heathclose alex heath source author verge co 4711 char
Mark Cuban Would Still Have Dinner With Donald Trump,"The billionaire investor campaigned for Kamala Harris, but thinks tech execs have a “moral imperative” to play nice with the president. Why? It’s good business.",https://www.wired.com/story/the-big-interview-podcast-mark-cuban-cost-plus-drug-company/,2025-10-14T10:30:00Z,Positive,0.7964,mark cuban would still dinner donald trump billionaire investor campaigned kamala harris think tech exec moral imperative play nice president good business term alter know ai would alter would make democratic would open much could race fast expensive r 2494 char
FTC Disappears Lina Khan’s Thoughts on AI,Nothing worse than someone else deleting your posts.,https://gizmodo.com/ftc-disappears-lina-khans-thoughts-on-ai-2000674454,2025-10-20T20:20:34Z,Positive,0.5795,ftc disappears lina khan thought ai nothing worse someone else deleting post despite vice president jd vance khanservatives among republican rank offering praise lina khan ran federal trade commission time agency head position 2607 char
Exclusive: The road to AI — How it will transform our relationship with technology,"In this exclusive collaboration, Android Central and IDC discuss the future of AI and its role in our lives.",https://www.androidcentral.com/apps-software/ai/exclusive-how-ai-will-transform-our-relationship-with-technology,2025-10-22T15:17:05Z,Positive,0.6249,exclusive road ai transform relationship technology exclusive collaboration android central idc discus future ai role life image credit android central exclusive column featuring expert analyst international data corporation idc provide insight latest product news li 11464 char
Is the AI Conveyor Belt of Capital About to Stop?,Good thing it's only the entire economy propped up by this right now.,https://gizmodo.com/is-the-ai-conveyor-belt-of-capital-about-to-stop-2000671017,2025-10-13T19:40:03Z,Positive,0.5423,ai conveyor belt capital stop good thing entire economy propped right american economy little big bet ai morgan stanley investor ruchir sharma recently noted money poured ai investment account 40 united state gd 12177 char
Meta AI just created the next evolution of the Photosphere,"Hyperscape is a new technology from Meta that lets you scan and visit real world locations with hyper-realistic detail, all fully viewable in VR.",https://www.androidcentral.com/gaming/virtual-reality/meta-ai-just-created-the-next-evolution-of-the-photosphere,2025-10-02T16:54:00Z,Positive,0.25,meta ai created next evolution photosphere hyperscape new technology meta let scan visit real world location hyper realistic detail fully viewable vr weekly column android central senior content producer nick sutrich delf thing vr new hardware new game upcoming technology much finished touring 5547 char
"Experts predict AI may disrupt the App ecosystem, and this might be a good thing","As generative AI redefines mobile technology, experts predict a seismic shift where apps become mere extensions of AI's intellect, paving the way for seamless user experience.",https://www.androidcentral.com/apps-software/experts-predict-ai-may-disrupt-the-app-ecosystem-and-this-might-be-a-good-thing,2025-10-23T17:05:00Z,Positive,0.7096,expert predict ai may disrupt app ecosystem might good thing generative ai redefines mobile technology expert predict seismic shift apps become mere extension ai intellect paving way seamless user experience ul li generative ai redefine apps work together smartphones li li strategic partnership ai platform service provider emerge next five year li li busi 2840 char
